,background,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,descending_aorta,pulmonary_trunk,ascending_aorta,vena_cava,auricle,coronary_artery
1349,0.99871254,1.0,0.9999479,1.0,1.0,0.99876475,1.0,1.0,1.0,1.0,1.0,1.0
1350,0.99134547,0.9192451,0.9294622,0.66064,0.99998045,0.9527162,0.96342534,0.85220325,1.0,1.0,1.9723865e-18,9.433963e-18
1351,0.99992514,1.0,1.0,1.0,1.0,0.99992514,1.0,1.0,1.0,1.0,1.0,1.0
1352,0.9930486,1.0,1.0,0.51797235,1.0,0.99416864,1.0,0.18900873,1.0,1.0,1.0,1.0
1353,0.9918709,0.9046385,0.8855814,0.8741288,0.99916923,0.94491774,0.22137405,0.92529005,1.0,1.0,7.1942446e-18,3.9215686e-18
1354,0.99894977,1.0,1.0,0.7881657,0.99992186,0.99991864,1.0,0.70803946,1.0,1.0,1.0,1.0
1355,0.9881964,0.9975559,0.75587887,0.95294255,0.4554653,0.8403663,0.8873696,0.77868474,0.96107626,8.53971e-19,1.0,1.0
1356,0.989664,0.99963856,0.9999056,0.893316,0.97247404,0.0043290043,0.53028715,0.5356238,0.122137405,2.7247958e-19,1.0,1.0
1357,0.992014,1.0,0.9996695,0.80320287,0.9958799,0.99885446,1.0,0.39229843,1.0,1.0,1.0,1.0989011e-17
1358,0.99721557,1.0,0.99982584,1.0,1.0,0.99743646,0.9999544,1.0,1.0,1.0,1.0,1.0
1359,0.98199433,0.91051364,0.7558624,0.5934761,0.4140991,0.83342195,7.518797e-18,0.7395434,0.99795157,8.0405245e-20,3.937008e-19,2.5641026e-17
1360,0.98766476,0.999987,1.0,0.82894576,0.9161939,0.99735796,0.8390119,0.61981374,0.99747574,3.7936268e-19,1.0,1.0
1361,0.9766791,0.12148686,0.7589994,0.84934455,0.34099802,0.77256835,0.89332026,0.43917853,0.6420664,1.0,1.0,5e-17
1362,0.99640805,1.0,0.9999707,1.0,0.9997672,0.9966719,1.0,1.0,1.0,1.0,1.0,1.0
1363,0.9993159,1.0,1.0,1.0,1.0,0.9993159,1.0,1.0,1.0,1.0,1.0,1.0
1364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1365,0.99978673,1.0,1.0,1.0,1.0,0.99978673,1.0,1.0,1.0,1.0,1.0,1.0
1366,0.9981506,0.93877554,0.90290135,0.53216374,1.0,0.9623415,1.0,0.20938627,1.0,1.0,1.0,2.173913e-17
1367,0.99315,1.0,1.0,0.7409029,0.97754616,0.9971534,0.9999528,0.7550991,1.0,7.575758e-18,1.0,1.0
1368,0.9938152,1.0,0.9999951,0.9520684,0.9791879,0.9991725,7.518797e-18,0.40953308,0.8932981,1.0,1.0,1.0
1369,0.9957089,1.0,8.474576e-18,0.5674201,1.0,0.9005904,1.0,0.62154293,1.0,1.0,1.0,2.7027026e-17
1370,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1371,0.99126387,1.0,0.99937785,1.0,0.9990714,0.9928381,1.0,1.0,1.0,1.0,1.0,1.0
1372,0.97159755,0.7734949,0.8048998,0.97233874,0.23982215,0.6644758,0.9613326,0.8979809,0.7225278,6.9492705e-19,1.0,3.7313435e-18
1373,0.9968446,1.0,1.0,0.79298717,0.9118142,0.99968415,1.0,0.7718805,1.0,1.0,1.0,1.0
1374,0.9835557,0.82868356,0.8340509,0.8253414,0.029866956,0.8760242,1.0,0.8226241,0.9996581,1.0,2.0682523e-19,5.2083332e-18
1375,0.9970335,1.0,1.0,0.006018054,0.9996597,0.9994789,0.99998045,0.99940556,1.0,1.0,1.0,1.0
1376,0.9997102,1.0,1.0,1.0,1.0,0.9997102,1.0,1.0,1.0,1.0,1.0,1.0
1377,0.9989344,1.0,1.0,1.0,0.9989752,0.9999593,1.0,1.0,1.0,1.0,1.0,1.0
1378,0.998755,1.0,1.0,1.0,1.0,0.998755,1.0,1.0,1.0,1.0,1.0,1.0
1379,0.97501117,0.9999072,0.9999935,0.35081273,0.79958373,0.9940501,0.09318716,0.32998565,0.99717957,6.060606e-18,1.0,2.4213076e-18
1380,0.99859434,1.0,1.0,1.0,1.0,0.9425397,1.0,1.0,1.0,1.0,1.0,1.0
1381,0.98758745,0.7590777,0.44085783,0.5132768,0.99408305,0.8727314,1.0,0.48456898,1.0,1.0,1.8254837e-19,2.0140987e-19
1382,0.98604846,0.99972486,0.40510365,0.89389646,0.93821466,0.80822355,0.7256599,0.6294046,0.8955586,1.0,1.0,1.0
1383,0.9998909,1.0,1.0,0.9998926,1.0,1.0,1.0,0.9999984,1.0,1.0,1.0,1.0
1384,0.9980675,1.0,0.99960274,0.47706422,0.9999577,0.91914505,1.0,0.999847,1.0,1.0,1.0,2.8735632e-18
1385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1386,0.96394956,0.9999121,0.9998128,0.9628721,0.94706887,0.9749083,0.58024,0.7821735,0.79053074,1.7035775e-18,1.0,1.0
1387,0.9952071,1.0,0.9999056,0.5823236,1.0,0.9122071,1.0,0.5555556,1.0,1.0,1.0,1.0
1388,0.99411476,0.9460115,0.948034,0.8058136,1.0,0.9622555,1.0,0.72318816,1.0,1.0,1.0,1.1363636e-17
1389,0.99972,1.0,1.0,2.4390244e-17,1.0,1.0,1.0,7.6335875e-18,1.0,1.0,1.0,1.0
1390,0.996341,0.81898826,0.6581222,0.7343137,0.99993,0.9590968,1.0,0.7810281,1.0,1.0,1.0,6.25e-17
1391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1392,0.9729223,0.6070714,0.79664445,0.842444,0.60186416,0.7730848,0.822932,0.2180937,0.8337724,1.0,1.0,1.1904762e-17
1393,0.9917596,0.8287069,4.397537e-19,0.66472155,0.99969393,0.8929053,1.0,0.9111144,1.0,1.0,8.5106385e-19,9.009009e-18
1394,0.9853743,1.0,0.9998828,0.7202846,0.9527083,0.9933678,0.05538832,0.86004895,0.99982256,2.5119317e-19,1.0,1.0
1395,0.99711245,1.0,1.0,1.0,0.9996141,0.99759185,1.0,0.99990886,1.0,1.0,1.0,1.0
1396,0.9929886,1.0,0.82839024,0.9679817,0.88631624,0.8886114,3.8505968e-19,0.93984157,0.87042385,1.0,1.0,9.708738e-18
1397,0.9959808,1.0,1.0,3.6764704e-18,0.9999984,0.9968652,1.0,0.32828283,1.0,1.0,1.0,1.0
1398,0.9999837,1.0,1.0,1.0,1.0,0.9999837,1.0,1.0,1.0,1.0,1.0,1.0
1399,0.9964911,0.80597013,0.14368185,0.85983825,0.9965687,0.9578202,1.0,0.6709797,1.0,1.0,1.0,1.0
1400,0.9987216,1.0,1.0,0.6666667,1.0,1.0,1.0,0.79641646,1.0,1.0,1.0,1.0
1401,0.99941856,1.0,1.0,0.9999447,1.0,0.9998193,1.0,3.7593986e-18,1.0,1.0,1.0,1.0
1402,0.990968,0.8505591,0.59350574,0.8063145,0.15852335,0.81934685,1.4836795e-18,0.6600143,1.0,6.9204153e-19,4.7483383e-19,3.2258065e-17
1403,0.99519295,0.2946631,0.9962654,0.7511994,0.99906653,0.8770698,1.0,0.8327302,1.0,1.0,1.0,9.009009e-18
1404,0.9985395,1.0,1.0,1.0,0.9985395,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1405,0.99925727,1.0,1.0,1.0,1.0,0.99925727,1.0,1.0,1.0,1.0,1.0,1.0
1406,0.9891873,0.8858751,0.8571742,0.5368041,0.99912196,0.9282825,1.0,0.5816327,0.9236364,1.0,3.3167497e-19,5.2910054e-18
1407,0.99761313,1.0,0.9999886,1.0,1.0,0.9976246,1.0,1.0,1.0,1.0,1.0,1.0
1408,0.99080324,1.0,0.99987465,1.0,1.0,0.99093086,1.0,1.0,1.0,1.0,1.0,1.0
1409,0.99979,1.0,1.0,1.0,1.0,0.99979,1.0,1.0,1.0,1.0,1.0,1.0
1410,0.9930146,0.9532659,0.916678,0.87657696,0.9993078,0.9544917,1.0,0.89051723,1.0,1.0,2.1551724e-18,1.9607843e-17
1411,0.9594808,0.9995001,0.37552658,0.87795043,0.8911764,0.44832203,0.99959785,0.7431472,0.89005274,1.2210012e-18,1.0,4.854369e-18
1412,0.9720288,1.0,0.9996418,0.77413285,0.90083474,0.98895484,1.0152284e-18,0.50199956,1.0,1.5961692e-19,1.0,1.0
1413,0.993115,1.0,1.0,0.9715185,0.93824774,0.5324201,1.0,0.84615386,0.9862256,2.745744e-19,1.0,1.0
1414,0.9752351,1.0,0.9997851,0.92311394,0.9256139,2.043736e-19,0.6054749,0.5039837,0.11016796,4.2105264e-19,1.0,1.0
1415,0.99575335,1.0,0.99996585,0.8444052,0.9711278,0.9999398,1.0,0.7637369,1.0,7.158196e-19,1.0,1.0
1416,0.9982356,0.54086536,0.9999984,0.4817073,0.9996711,0.917923,1.0,0.10695187,1.0,1.0,1.0,6.0240963e-18
1417,0.99843246,0.9481707,1.0,0.46857142,0.99997723,0.9534419,1.0,0.24074075,1.0,1.0,1.0,8.695652e-18
1418,0.9940448,0.11764706,0.9980627,0.57956016,1.0,0.7684468,0.99982417,0.51369864,1.0,1.0,1.0,9.009009e-18
1419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1420,0.99992186,1.0,1.0,1.0,0.99992186,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1421,0.9918409,1.0,1.0,0.7937394,0.9469243,0.99952286,0.99938273,0.7278761,1.0,1.35318e-18,1.0,1.0
1422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1423,0.9953419,0.9995066,1.0,0.97420835,0.9551451,0.9990437,0.82449603,0.7864874,0.90749055,1.0,1.0,1.0
1424,0.99375975,0.552901,0.85275024,0.36829838,0.9996711,0.909232,1.0,0.6397813,1.0,1.0,1.0,2e-17
1425,0.9841485,1.0,0.99969065,0.7554713,0.75340694,0.9983436,0.75738084,0.32722977,1.0,2.2904262e-19,1.0,1.0
