,Image,F1,Jaccard,Recall,Precision
3796,.\files\images\heart7-slice196_saggital.png,0.9292545572916666,0.8678575880194447,0.9292545572916666,0.9292545572916666
3797,.\files\images\heart7-slice197_saggital.png,0.92796875,0.8656172569596269,0.92796875,0.92796875
3798,.\files\images\heart7-slice198_saggital.png,0.9268912760416667,0.8637440506705414,0.9268912760416667,0.9268912760416667
3799,.\files\images\heart7-slice199_saggital.png,0.9265657552083333,0.8631788669907418,0.9265657552083333,0.9265657552083333
3800,.\files\images\heart7-slice200_saggital.png,0.9261295572916667,0.8624220580612502,0.9261295572916667,0.9261295572916667
3801,.\files\images\heart7-slice201_saggital.png,0.9258854166666667,0.8619987392716869,0.9258854166666667,0.9258854166666667
3802,.\files\images\heart7-slice202_saggital.png,0.925322265625,0.8610230174380038,0.925322265625,0.925322265625
3803,.\files\images\heart7-slice203_saggital.png,0.9236653645833334,0.858158173295025,0.9236653645833334,0.9236653645833334
3804,.\files\images\heart7-slice204_saggital.png,0.9231022135416667,0.8571864713154769,0.9231022135416667,0.9231022135416667
3805,.\files\images\heart7-slice205_saggital.png,0.9231282552083333,0.8572313830993153,0.9231282552083333,0.9231282552083333
3806,.\files\images\heart7-slice206_saggital.png,0.923525390625,0.8579165570483802,0.923525390625,0.923525390625
3807,.\files\images\heart7-slice207_saggital.png,0.925419921875,0.8611921444604996,0.925419921875,0.925419921875
3808,.\files\images\heart7-slice208_saggital.png,0.9266959635416666,0.8634048993233632,0.9266959635416666,0.9266959635416666
3809,.\files\images\heart7-slice209_saggital.png,0.9270084635416667,0.8639476007438801,0.9270084635416667,0.9270084635416667
3810,.\files\images\heart7-slice210_saggital.png,0.9278157552083334,0.8653510436432638,0.9278157552083334,0.9278157552083334
3811,.\files\images\heart7-slice211_saggital.png,0.9300065104166667,0.8691702514739794,0.9300065104166667,0.9300065104166667
3812,.\files\images\heart7-slice212_saggital.png,0.9315950520833334,0.8719493988678119,0.9315950520833334,0.9315950520833334
3813,.\files\images\heart7-slice213_saggital.png,0.9299544270833333,0.8690792715944974,0.9299544270833333,0.9299544270833333
3814,.\files\images\heart7-slice214_saggital.png,0.9285514322916667,0.8666318293538793,0.9285514322916667,0.9285514322916667
3815,.\files\images\heart7-slice215_saggital.png,0.9291796875,0.8677269908437603,0.9291796875,0.9291796875
3816,.\files\images\heart7-slice216_saggital.png,0.9330989583333333,0.8745881031999805,0.9330989583333333,0.9330989583333333
3817,.\files\images\heart7-slice217_saggital.png,0.9376041666666667,0.882537503676831,0.9376041666666667,0.9376041666666667
3818,.\files\images\heart7-slice218_saggital.png,0.94236328125,0.8910084762977599,0.94236328125,0.94236328125
3819,.\files\images\heart7-slice219_saggital.png,0.9445963541666667,0.8950095614089199,0.9445963541666667,0.9445963541666667
3820,.\files\images\heart7-slice220_saggital.png,0.9447819010416667,0.8953427750853737,0.9447819010416667,0.9447819010416667
3821,.\files\images\heart7-slice221_saggital.png,0.9470345052083333,0.899397473034677,0.9470345052083333,0.9470345052083333
3822,.\files\images\heart7-slice222_saggital.png,0.9510091145833334,0.9065942591155934,0.9510091145833334,0.9510091145833334
3823,.\files\images\heart7-slice223_saggital.png,0.9547786458333334,0.9134702826604213,0.9547786458333334,0.9547786458333334
3824,.\files\images\heart7-slice224_saggital.png,0.9565690104166666,0.9167534987614727,0.9565690104166666,0.9565690104166666
3825,.\files\images\heart7-slice225_saggital.png,0.9574674479166667,0.9184053255731174,0.9574674479166667,0.9574674479166667
3826,.\files\images\heart7-slice226_saggital.png,0.9582747395833333,0.9198920060746583,0.9582747395833333,0.9582747395833333
3827,.\files\images\heart7-slice227_saggital.png,0.9586002604166667,0.920492126107315,0.9586002604166667,0.9586002604166667
3828,.\files\images\heart7-slice228_saggital.png,0.9593391927083333,0.9218557919991491,0.9593391927083333,0.9593391927083333
