epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.9234316945075989,0.9204264283180237,0.07957462966442108,1e-04,0.9251560568809509,0.9223828911781311,0.07761701196432114
1,0.9238861799240112,0.9208834767341614,0.07911628484725952,1e-04,0.9251558780670166,0.9223800897598267,0.07761982083320618
2,0.9238849878311157,0.9208828210830688,0.0791175588965416,1e-04,0.9251562356948853,0.9223892092704773,0.07761074602603912
3,0.9238856434822083,0.9208886027336121,0.0791124701499939,1e-04,0.9251564741134644,0.9223761558532715,0.07762333005666733
4,0.9238855242729187,0.920882523059845,0.07911695539951324,1e-04,0.9251559376716614,0.9223921298980713,0.07760825753211975
5,0.9238849878311157,0.9208906888961792,0.07911020517349243,1e-04,0.9251568913459778,0.9223955273628235,0.07760445773601532
6,0.9238865971565247,0.920888364315033,0.07911183685064316,1e-05,0.9251565337181091,0.9223860502243042,0.07761404663324356
7,0.9238861799240112,0.920882523059845,0.07911598682403564,1e-05,0.9251561164855957,0.9223850965499878,0.07761476188898087
8,0.9238858222961426,0.9208902716636658,0.07910925149917603,1e-05,0.9251564741134644,0.9223940968513489,0.07760611176490784
9,0.9238858222961426,0.9208875298500061,0.07911354303359985,1e-05,0.9251562356948853,0.9223878383636475,0.07761260867118835
10,0.9238850474357605,0.9208873510360718,0.0791117250919342,1e-05,0.9251564741134644,0.9223751425743103,0.07762493193149567
11,0.9238848686218262,0.920883297920227,0.07911641895771027,1e-06,0.9251567125320435,0.9223901629447937,0.07761001586914062
12,0.9238855242729187,0.9208796620368958,0.0791207104921341,1e-06,0.92515629529953,0.9223675727844238,0.07763225585222244
13,0.9238845109939575,0.920890748500824,0.07910985499620438,1e-06,0.9251561164855957,0.9223734140396118,0.07762636989355087
14,0.9238856434822083,0.920888364315033,0.07911073416471481,1e-06,0.9251562356948853,0.9223835468292236,0.07761646062135696
0,0.9233148097991943,0.9202874898910522,0.07971304655075073,1e-04,0.9256845712661743,0.9227992296218872,0.07720085233449936
1,0.9236811399459839,0.9206926822662354,0.07930798828601837,1e-04,0.9256845712661743,0.9228148460388184,0.07718479633331299
